Datum,Lokalzeit,Last [kW],Globalstrahlung [W/m2],Lufttemperatur [°C]
05.01.2021,19:15:00,62284.03,0,-0.2
05.01.2021,19:30:00,61240.66,0,-0.2
05.01.2021,19:45:00,61386.94,0,-0.2
05.01.2021,20:00:00,60237.79,0,-0.2
05.01.2021,20:15:00,60968.59,0,-0.2
05.01.2021,20:30:00,60122.88,0,-0.2
05.01.2021,20:45:00,59084.14,0,-0.2
05.01.2021,21:00:00,58039.32,0,-0.2
05.01.2021,21:15:00,57592.76,0,-0.2
05.01.2021,21:30:00,56592.84,0,-0.2
05.01.2021,21:45:00,55774.08,0,-0.2
05.01.2021,22:00:00,54996.61,0,-0.2
05.01.2021,22:15:00,55853.68,0,-0.4
05.01.2021,22:30:00,55282.47,0,-0.4
05.01.2021,22:45:00,55703.08,0,-0.4
05.01.2021,23:00:00,54106.06,0,-0.4
05.01.2021,23:15:00,53659.85,0,-0.4
05.01.2021,23:30:00,52482.82,0,-0.4
05.01.2021,23:45:00,51851.13,0,-0.4
06.01.2021,00:00:00,51102.37,0,-0.4
06.01.2021,00:15:00,50567.24,0,-0.5
06.01.2021,00:30:00,49980.64,0,-0.5
06.01.2021,00:45:00,49524.64,0,-0.5
06.01.2021,01:00:00,48587.56,0,-0.5
06.01.2021,01:15:00,48102.18,0,-0.6
06.01.2021,01:30:00,47823.38,0,-0.6
06.01.2021,01:45:00,47637.75,0,-0.6
06.01.2021,02:00:00,46633.52,0,-0.6
06.01.2021,02:15:00,47923.86,0,-0.6
06.01.2021,02:30:00,47702.5,0,-0.6
06.01.2021,02:45:00,46831.97,0,-0.6
06.01.2021,03:00:00,45760.35,0,-0.6
06.01.2021,03:15:00,46438.39,0,-0.7
06.01.2021,03:30:00,45718.32,0,-0.7
06.01.2021,03:45:00,45705.48,0,-0.7
06.01.2021,04:00:00,45258.36,0,-0.7
06.01.2021,04:15:00,45977.63,0,-0.7
06.01.2021,04:30:00,45813.86,0,-0.7
06.01.2021,04:45:00,45779.04,0,-0.7
06.01.2021,05:00:00,45765.23,0,-0.7
06.01.2021,05:15:00,46662.45,0,-0.9
06.01.2021,05:30:00,47308.79,0,-0.9
06.01.2021,05:45:00,48278.67,0,-0.9
06.01.2021,06:00:00,49432.47,0,-0.9
06.01.2021,06:15:00,50529.56,0,-1.3
06.01.2021,06:30:00,52507.29,0,-1.3
06.01.2021,06:45:00,53010.99,0,-1.3
06.01.2021,07:00:00,54588.94,0,-1.3
06.01.2021,07:15:00,55988.28,0,-1.4
06.01.2021,07:30:00,56374.2,0,-1.4
06.01.2021,07:45:00,56971.07,0,-1.4
06.01.2021,08:00:00,57933.38,0,-1.4
06.01.2021,08:15:00,57618.59,8.3,-1.4
06.01.2021,08:30:00,57313.41,8.3,-1.4
06.01.2021,08:45:00,57245.01,8.3,-1.4
06.01.2021,09:00:00,56858.21,8.3,-1.4
06.01.2021,09:15:00,55967.85,23.3,-0.9
06.01.2021,09:30:00,55888.32,23.3,-0.9
06.01.2021,09:45:00,56058.22,23.3,-0.9
06.01.2021,10:00:00,55598.5,23.3,-0.9
06.01.2021,10:15:00,56288.57,38.3,-0.4
06.01.2021,10:30:00,55736.68,38.3,-0.4
06.01.2021,10:45:00,56470.16,38.3,-0.4
06.01.2021,11:00:00,56935.79,38.3,-0.4
